entry_z,exit_z,stop_z,train_ann_return,train_ann_vol,train_sharpe,train_max_drawdown,train_trades,test_ann_return,test_ann_vol,test_sharpe,test_max_drawdown,test_trades
2.0,0.45,3.4,0.06773178482800679,0.07872031151009522,0.8604105284735917,-0.105884532737056,72,0.08714487013964385,0.17268189023351269,0.5046555259604837,-0.12841252853616802,57
1.5,0.45,3.4,0.0893946533742765,0.10461348718793773,0.8545232147139818,-0.10525790300823967,152,0.10188354400765998,0.18655053182631154,0.546144484340141,-0.14914226457493285,83
2.0,0.45,3.5,0.07455572559017894,0.08823971313460878,0.8449225744472326,-0.105884532737056,72,0.08714487013964385,0.17268189023351269,0.5046555259604837,-0.12841252853616802,57
1.5,0.4,3.4,0.08865502076709138,0.10497121968379379,0.8445650249101428,-0.10525790300823967,148,0.10321785910697438,0.1869042982275411,0.5522497881847258,-0.14914226457493285,82
2.0,0.4,3.4,0.06651855349551557,0.0794159655948007,0.8375967350810689,-0.105884532737056,72,0.08644995000821934,0.1726886085176341,0.5006117702279794,-0.12841252853616802,56
1.5,0.45,3.5,0.0869275232095099,0.10480240794795401,0.8294420415672037,-0.10525790300823967,148,0.10188354400765998,0.18655053182631154,0.546144484340141,-0.14914226457493285,83
2.0,0.4,3.5,0.07334249425768773,0.08886124480156778,0.8253597439633633,-0.105884532737056,72,0.08644995000821934,0.1726886085176341,0.5006117702279794,-0.12841252853616802,56
1.5,0.4,3.5,0.08618789060232479,0.10515942891472424,0.8195926080220174,-0.10525790300823967,144,0.10321785910697438,0.1869042982275411,0.5522497881847258,-0.14914226457493285,82
2.0,0.3,3.4,0.06598292421229268,0.08069012837607985,0.8177322993558771,-0.105884532737056,72,0.12089572057257689,0.28746913553795883,0.42055200237875007,-0.27405440114398294,52
2.0,0.35,3.4,0.06598292421229268,0.08069012837607985,0.8177322993558771,-0.105884532737056,72,0.08644995000821934,0.1726886085176341,0.5006117702279794,-0.12841252853616802,56
1.6,0.45,3.4,0.08181679396426324,0.10007652890281316,0.8175422835030339,-0.10525790300823967,134,0.09837186891785743,0.18261794858745217,0.5386757965400595,-0.14914226457493285,75
2.0,0.3,3.5,0.07280686497446484,0.09000195032568922,0.8089476362567624,-0.105884532737056,72,0.12089572057257689,0.28746913553795883,0.42055200237875007,-0.27405440114398294,52
2.0,0.35,3.5,0.07280686497446484,0.09000195032568922,0.8089476362567624,-0.105884532737056,72,0.08644995000821934,0.1726886085176341,0.5006117702279794,-0.12841252853616802,56
1.5,0.3,3.4,0.08598142799653646,0.10719719853288055,0.802086520667454,-0.10525790300823967,146,0.14428580884685546,0.2955311470888984,0.48822538763893136,-0.27405440114398294,76
1.6,0.4,3.4,0.0804872082801211,0.10044145271861887,0.8013345695586614,-0.10525790300823967,130,0.09510031512830565,0.18267504799070328,0.5205982764167414,-0.14914226457493285,74
1.6,0.45,3.5,0.07934966379949665,0.1002732579993286,0.7913342538449081,-0.10525790300823967,130,0.09837186891785743,0.18261794858745217,0.5386757965400595,-0.14914226457493285,75
1.5,0.35,3.4,0.08366231871423258,0.10690056405310731,0.7826181223203821,-0.10525790300823967,146,0.11322772184297394,0.1871379864708834,0.6050493754809686,-0.14914226457493285,82
1.7,0.45,3.4,0.07471972249590758,0.0958961914269312,0.7791729930467657,-0.10525790300823967,110,0.08633228062737101,0.18046157680525612,0.4783970203282436,-0.14914226457493285,67
1.5,0.45,3.3,0.0808495750549436,0.10382597937876904,0.7787027441368514,-0.10525790300823967,156,0.09555847706966744,0.18601449407294834,0.5137152217406927,-0.1484535189588687,85
1.5,0.3,3.5,0.08351429783176985,0.10738126256966136,0.7777362254200697,-0.10525790300823967,142,0.14428580884685546,0.2955311470888984,0.48822538763893136,-0.27405440114398294,76
1.9,0.45,3.5,0.07024750796133024,0.09045071845439218,0.7766384740962674,-0.105884532737056,84,0.08426503284329323,0.17698961913893893,0.4761015547309822,-0.14914226457493285,63
1.6,0.4,3.5,0.07802007811535451,0.10063733910916875,0.7752597475845459,-0.10525790300823967,126,0.09510031512830565,0.18267504799070328,0.5205982764167414,-0.14914226457493285,74
1.6,0.25,3.4,0.08212280292211038,0.10597400724848458,0.7749334488177971,-0.10879559457537724,124,0.17431610064352296,0.294781487091105,0.5913400545050135,-0.27405440114398294,68
1.7,0.4,3.4,0.07427028275013632,0.0963090844272166,0.7711659101718945,-0.10525790300823967,106,0.08306072683781923,0.1805184924341709,0.4601230916445235,-0.14914226457493285,66
1.5,0.4,3.3,0.08010994244775849,0.10418617515667963,0.768911444606597,-0.10525790300823967,152,0.09689279216898186,0.18636945768465868,0.5198963036793649,-0.1484535189588687,84
1.7,0.45,3.5,0.07381095564688536,0.09600349224261759,0.7688361529636046,-0.10525790300823967,108,0.08633228062737101,0.18046157680525612,0.4783970203282436,-0.14914226457493285,67
2.0,0.25,3.4,0.0635559129986206,0.08324049339297473,0.7635215795583515,-0.10941974669336618,72,0.1411590017129774,0.2878878357317287,0.49032638476784374,-0.27405440114398294,52
2.0,0.25,3.5,0.07037985376079275,0.09229607482493406,0.7625443865764422,-0.10941974669336618,72,0.1411590017129774,0.2878878357317287,0.49032638476784374,-0.27405440114398294,52
1.9,0.45,3.4,0.06877913340019606,0.09020506854767374,0.7624752633921675,-0.105884532737056,86,0.08426503284329323,0.17698961913893893,0.4761015547309822,-0.14914226457493285,63
2.0,0.45,3.2,0.059186706508673886,0.07766125547783105,0.7621136967785583,-0.105884532737056,76,0.10712855215197799,0.1704701184019071,0.6284300917736648,-0.08922025627144148,59
