entry_z,exit_z,stop_z,train_ann_return,train_ann_vol,train_sharpe,train_max_drawdown,train_trades,test_ann_return,test_ann_vol,test_sharpe,test_max_drawdown,test_trades
1.5,0.75,3.4,0.15936005354994542,0.10225208240311816,1.5585017909139987,-0.08845836781110217,100,0.3398176867394083,0.27138589167209665,1.2521567891598238,-0.11335301409049503,66
1.5,0.75,3.5,0.15936005354994542,0.10225208240311816,1.5585017909139987,-0.08845836781110217,100,0.3461132708824833,0.271786067411181,1.2734768716413039,-0.11335301409049503,64
1.5,0.75,2.8,0.15140846927060572,0.09760147574775033,1.5512928273945246,-0.11321585693379754,114,0.2717428066577369,0.2591551836780524,1.0485717584384577,-0.16294278593672706,76
1.5,0.75,2.9,0.15149483611065384,0.09795857717864555,1.546519360263625,-0.0999110088934877,110,0.32415813895969303,0.2646919127025985,1.2246620444498029,-0.09184230845604635,72
1.5,0.75,3.0,0.15564489279890323,0.10093171170467179,1.5420811771658378,-0.08845836781110217,104,0.32415813895969303,0.2646919127025985,1.2246620444498029,-0.09184230845604635,72
1.5,0.75,3.1,0.15564489279890323,0.10093171170467179,1.5420811771658378,-0.08845836781110217,104,0.30976734909040143,0.26474865941777015,1.1700431260790347,-0.10892287991346439,70
1.5,0.75,3.2,0.15688451800698316,0.10214676893200339,1.5358735244128707,-0.08845836781110217,102,0.3133593229643075,0.26662583063258,1.1752774373767558,-0.1089228799134645,68
1.5,0.75,3.3,0.15688451800698316,0.10214676893200339,1.5358735244128707,-0.08845836781110217,102,0.33798098054556386,0.2714476926779625,1.2451053726455303,-0.11949430993825227,68
1.5,0.7,3.4,0.15861377824313727,0.10334876147967395,1.534742903274487,-0.08845836781110217,98,0.34216617453605347,0.27169450005559986,1.2593783623372288,-0.11335301409049503,66
1.5,0.7,3.5,0.15861377824313727,0.10334876147967395,1.534742903274487,-0.08845836781110217,98,0.34846175867912843,0.27209400628928726,1.2806667939191863,-0.11335301409049503,64
1.5,0.7,2.8,0.15066219396379754,0.09874957780135364,1.5256996264517932,-0.11321585693379754,112,0.27409129445438213,0.25948078391769414,1.0563067149562888,-0.16294278593672706,76
1.5,0.7,2.9,0.1507485608038457,0.09910254488259518,1.521137131063935,-0.0999110088934877,108,0.3265066267563382,0.2650088671856429,1.2320592522951888,-0.09184230845604635,72
1.5,0.7,3.0,0.15489861749209505,0.102042474328171,1.5179817866228669,-0.08845836781110217,102,0.3265066267563382,0.2650088671856429,1.2320592522951888,-0.09184230845604635,72
1.5,0.7,3.1,0.15489861749209505,0.102042474328171,1.5179817866228669,-0.08845836781110217,102,0.31211583688704664,0.26506605200836986,1.1775021151225775,-0.10892287991346439,70
1.6,0.5,3.4,0.15691605694133237,0.10353468077683323,1.5155893248906764,-0.08845836781110217,82,0.3413635801148803,0.27428647887368907,1.2445512499071483,-0.11335301409049436,61
1.6,0.5,3.5,0.15691605694133237,0.10353468077683323,1.5155893248906764,-0.08845836781110217,82,0.34765916425795523,0.27468228827613184,1.2656773992958055,-0.11335301409049436,59
1.5,0.7,3.2,0.156138242700175,0.10324449566299114,1.5123154188271568,-0.08845836781110217,100,0.3157078107609526,0.26694086587530313,1.1826881947271053,-0.1089228799134645,68
1.5,0.7,3.3,0.156138242700175,0.10324449566299114,1.5123154188271568,-0.08845836781110217,100,0.34032946834220895,0.27175629386635675,1.252333344336727,-0.11949430993825227,68
1.6,0.75,3.4,0.15047820113527713,0.09987063795648339,1.506731149558141,-0.08845836781110217,88,0.3392817157206071,0.2686664027003549,1.2628364109188965,-0.11335301409049436,64
1.6,0.75,3.5,0.15047820113527713,0.09987063795648339,1.506731149558141,-0.08845836781110217,88,0.3455772998636821,0.2690706727978586,1.2843365509525433,-0.11335301409049436,62
1.6,0.5,2.8,0.14896447266199267,0.09894359807813499,1.505549379196384,-0.11321585693379754,96,0.2674473720748513,0.2617036571253699,1.0219474004015536,-0.1514606342891467,71
1.6,0.5,2.9,0.14905083950204076,0.09929588133761474,1.5010777636914745,-0.0999110088934877,92,0.3198627043768074,0.26719092509621706,1.1971316176311861,-0.09184230845604646,67
1.6,0.75,2.8,0.14252661685593745,0.09510070201596578,1.4986915326030892,-0.11321585693379754,102,0.27120683563893566,0.2563053908831696,1.0581394121458745,-0.15146063428914702,74
1.6,0.5,3.0,0.15320089619029015,0.1022305244689533,1.4985827079153469,-0.08845836781110217,86,0.3198627043768074,0.26719092509621706,1.1971316176311861,-0.09184230845604646,67
1.6,0.5,3.1,0.15320089619029015,0.1022305244689533,1.4985827079153469,-0.08845836781110217,86,0.3054719145075159,0.2672462233115551,1.1430354776291725,-0.10892287991346428,65
1.6,0.75,2.9,0.14261298369598552,0.09546719010597875,1.4938428955295524,-0.0999110088934877,98,0.32362216794089177,0.2619027983428832,1.2356575416090267,-0.09184230845604657,70
1.6,0.5,3.2,0.15444052139837014,0.10343044113591862,1.4931824683549288,-0.08845836781110217,84,0.3090638883814219,0.26910620064276114,1.1484829693378364,-0.10892287991346483,63
1.6,0.5,3.3,0.15444052139837014,0.10343044113591862,1.4931824683549288,-0.08845836781110217,84,0.33952687392103575,0.27434766754794243,1.2375788609965244,-0.11949430993825205,63
1.6,0.75,3.0,0.14676304038423493,0.09851702651166427,1.4897225949755843,-0.08845836781110217,92,0.32362216794089177,0.2619027983428832,1.2356575416090267,-0.09184230845604657,70
1.6,0.75,3.1,0.14676304038423493,0.09851702651166427,1.4897225949755843,-0.08845836781110217,92,0.3092313780716002,0.2619600324067131,1.1804525111353426,-0.10892287991346494,68
