term,coef,std_err,t,p
intercept,-0.03629100858187598,0.01938789538707108,-1.8718384774283872,0.06122895320787718
anom_signed,-6.011176645455469e-05,0.0003310489246776058,-0.18157970612076427,0.8559125762434207
adj_r2,-0.004365780475315217
