mode,entry_z,exit_z,stop_z,beta,alpha,z_window,cost_bps,adf_pvalue,adf_note,train_ann_return,train_ann_vol,train_sharpe,train_max_drawdown,test_ann_return,test_ann_vol,test_sharpe,test_max_drawdown,variant,tilt_on,tilt_lag,tilt_sign,tilt_q_lo,tilt_q_hi,tilt_favor,tilt_unfavor,tilt_days_long_fav,tilt_days_short_fav,tilt_days_neutral
standard,1.5,0.75,3.4,0.9063758947365238,167.20604341509897,252,12.0,5.346558506249588e-09,,0.15936005354994542,0.10225208240311816,1.5585017909139987,-0.08845836781110217,0.3398176867394083,0.27138589167209665,1.2521567891598238,-0.11335301409049503,standard,,,,,,,,,,
standard,1.5,0.75,3.4,0.9063758947365238,167.20604341509897,252,12.0,5.346558506249588e-09,,0.14331872343104496,0.10284285589395857,1.3935700461179443,-0.07120427034514387,0.3337743695989614,0.2707155114051472,1.2329340415940984,-0.08802562293503469,standard_tilted,True,0,negative,0.2,0.8,0.8,1.2,641,639,1785
causal,2.0,0.45,3.4,0.9006780200511311,183.42832171549472,252,12.0,0.0010500207347074362,,0.08804291818770409,0.08683562292511628,1.01390322567996,-0.10588454001955294,0.09704329720522924,0.27766992085462244,0.3494915722471699,-0.27405317279267094,causal,,,,,,,,,,
causal,2.0,0.45,3.4,0.9006780200511311,183.42832171549472,252,12.0,0.0010500207347074362,,0.07195998751692116,0.08768632352391359,0.8206523506176698,-0.10588454001955294,0.12230522186422337,0.28416668868096334,0.4303995743904262,-0.27405317279267094,causal_tilted,True,0,negative,0.2,0.8,0.8,1.2,641,638,1781
