feature,target,N,pearson_r,pearson_p,spearman_r,spearman_p
precip_mm,ret_cc_m,173,-0.04797325223764437,0.5308059210560718,-0.03610304095810033,0.637231879932491
precip_mm,ret_c_usd_m,173,0.034011722310942516,0.6568692165691833,0.04686303117752518,0.5403691141114113
precip_mm,ret_spread_m,173,-0.1417561148497138,0.06282899752788734,-0.06611628669777551,0.3874419304357096
gwetroot,ret_cc_m,173,0.029774693843285207,0.6973707743737455,-0.0009325002126933404,0.990285029425211
gwetroot,ret_c_usd_m,173,0.06571166957484398,0.3903597631830649,0.05125155708794281,0.5030731048396486
gwetroot,ret_spread_m,173,-0.05848440164383267,0.4446765355945696,-0.0489272655130206,0.5226568328637473
t2m_max,ret_cc_m,173,0.0796971066581465,0.2972673486281088,0.033625754718126864,0.6605197641226765
t2m_max,ret_c_usd_m,173,0.08191855445136255,0.28396215332532,0.004935624805090375,0.9486136923082773
t2m_max,ret_spread_m,173,0.0019821797274994783,0.9793510412541052,0.05199731142981921,0.49687206391456584
