feature,target,N,pearson_r,pearson_p,spearman_r,spearman_p
precip_mm,ret_cc_m,173,0.01584094334620943,0.836121090784468,-0.002664212979478483,0.9722485738944195
precip_mm,ret_c_usd_m,173,0.04889135483322314,0.5229624205721728,0.0056181402890437965,0.9415196725687338
precip_mm,ret_spread_m,173,-0.05461657012358427,0.47541648177688944,-0.022713603478807427,0.7667541429621649
gwetroot,ret_cc_m,173,0.06873828307286287,0.3688551078506773,0.06261354097791846,0.41313706868046185
gwetroot,ret_c_usd_m,173,0.02694416070456497,0.7249209135190604,0.02666338230140534,0.7276738227479688
gwetroot,ret_spread_m,173,0.07544776396397662,0.3238519146474443,0.050472417574068305,0.509594778539209
t2m_max,ret_cc_m,173,0.05467897957261377,0.47491147668347883,0.012004728188760552,0.8754351769218336
t2m_max,ret_c_usd_m,173,0.08365404827776687,0.27384984595149314,0.032295372638708277,0.6731637770468332
t2m_max,ret_spread_m,173,-0.04494933128432768,0.55705125780602,0.002299196903803546,0.9760494941112446
